SETID,ZIP_FILE_NAME,UPLOAD_DATE,SPL_VERSION,TITLE
4a18c8ab-cd09-4105-a86d-b7cf910b9ddf,20190115_4a18c8ab-cd09-4105-a86d-b7cf910b9ddf.zip,01/15/2019,2,"1 DETOXIFICATION (CAPSICUM ANNUUM, PHYTOLACCA DECANDRA, TRIFOLIUM PRATENSE, ALUMINUM METALLICUM, ANTIMONIUM CRUDUM, ARGENTUM METALLICUM, ARSENICUM ALBUM, AURUM METALLICUM, BARYTA CARBONICA, BERYLLIUM METALLICUM, BISMUTHUM METALLICUM, BORON, BROMIUM, CADMIUM METALLICUM, CERIUM METALLICUM, CESIUM CHLORIDE, CHROMIUM METALLICUM, COBALTUM METALLICUM, CUPRUM METALLICUM, DYSPROSIUM METALLICUM, ERBIUM METALLICUM, EUROPIUM OXYDA"
c2469463-c963-4c4d-8888-3437f441c69a,20190611_c2469463-c963-4c4d-8888-3437f441c69a.zip,06/11/2019,2,"1 DETOXIFICATION (CAPSICUM ANNUUM, PHYTOLACCA DECANDRA, TRIFOLIUM PRATENSE, ALUMINUM METALLICUM, ANTIMONIUM CRUDUM, ARGENTUM METALLICUM, ARSENICUM ALBUM, AURUM METALLICUM, BARYTA CARBONICA, BERYLLIUM METALLICUM, BISMUTHUM METALLICUM, BORON, BROMIUM, CADMIUM METALLICUM, CERIUM METALLICUM, CESIUM CHLORIDE, CHROMIUM METALLICUM, COBALTUM METALLICUM, CUPRUM METALLICUM, DYSPROSIUM METALLICUM, ERBIUM METALLICUM, EUROPIUM OXYDA"
e6d5b8b7-620b-41c0-b309-468e48b1c7e6,20200520_e6d5b8b7-620b-41c0-b309-468e48b1c7e6.zip,05/20/2020,2,"1 DETOXIFICATION (TRIFOLIUM PRATENSE, CAPSICUM ANNUUM, PHYTOLACCA DECANDRA, ALUMINUM METALLICUM, ANTIMONIUM CRUDUM, ARGENTUM METALLICUM, ARSENICUM ALBUM, AURUM METALLICUM, BARYTA CARBONICA, BERYLLIUM METALLICUM, BISMUTHUM METALLICUM, BORON, BROMIUM, CADMIUM METALLICUM, CERIUM METALLICUM, CESIUM CHLORIDE, CHROMIUM, COBALTUM METALLICUM, CUPRUM METALLICUM, DYSPROSIUM METALLICUM, ERBIUM METALLICUM, EUROPIUM OXYDATUM, FERRUM"
5f6acc2b-7a6e-7f98-e053-2991aa0a46e7,20180105_5f6acc2b-7a6e-7f98-e053-2991aa0a46e7.zip,01/05/2018,5,"1% HYDROCORTISONE (HYDROCORTISONE) CREAM [YUYAO JESSIE COMMODITY CO.,LTD.]"
f2af44c9-5d84-4159-8408-852b59814631,20160615_f2af44c9-5d84-4159-8408-852b59814631.zip,06/15/2016,1,1% IODINE TEAT DIP (IODINE) SOLUTION [METZ SALES]
7ab57079-a033-473c-8069-ede7e78fc750,20170831_7ab57079-a033-473c-8069-ede7e78fc750.zip,08/31/2017,1,1% IODINE WOUND (IODINE) SOLUTION [CENTAUR INC]
999b1c7b-3495-926a-e053-2a95a90ab206,20200224_999b1c7b-3495-926a-e053-2a95a90ab206.zip,02/24/2020,2,"1% LIDOCAINE HCI INJECTION, SOLUTION 2% LIDOCAINE HCI INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
999dd95d-87fe-12c0-e053-2995a90aa9f7,20210810_999dd95d-87fe-12c0-e053-2995a90aa9f7.zip,08/10/2021,5,"1% LIDOCAINE HCI INJECTION, SOLUTION [HF ACQUISITION CO LLC, DBA HEALTHFIRST]"
46282ba9-8549-4d28-b187-acdd223c3b67,20220308_46282ba9-8549-4d28-b187-acdd223c3b67.zip,03/08/2022,2,"1-DODECANOL LIQUID [BLUEBAY SHANDONG CO.,LTD]"
5d759a16-840d-6257-e053-2a91aa0ab808,20171215_5d759a16-840d-6257-e053-2a91aa0ab808.zip,12/15/2017,6,"1.8OZ ARMSTRONG HAND SANITIZER WITH ALOE VERA AND VITAMIN E (ALCOHOL) GEL [BLUE CROSS LABORATORIES, INC.]"
547fa665-32fd-0cc2-e054-00144ff8d46c,20180212_547fa665-32fd-0cc2-e054-00144ff8d46c.zip,02/12/2018,12,"1.8OZ HAND SANITIZER WITH CLIP -ASSORTED (ETHYL ALCOHOL) GEL [NINGBO LIYUAN DAILY CHEMICAL PRODUCTS CO., LTD.]"
91791905-086f-44cf-9c1a-e9f132c6c11b,20211201_91791905-086f-44cf-9c1a-e9f132c6c11b.zip,12/01/2021,1,"10 ACNE MED (BENZOYL PEROXIDE) GEL [FACE REALITY, INC.]"
9dc66fbf-bc66-4c60-9675-05b193da91da,20191231_9dc66fbf-bc66-4c60-9675-05b193da91da.zip,12/31/2019,3,"10 ARMANI PRIMA CONTROL GLOW MOISTURIZER SBS SPF 35 (OCTINOXATE, TITANIUM DIOXIDE) CREAM [BPS 60]"
33d707e6-097a-46d5-b278-aa98b44d2e64,20211224_33d707e6-097a-46d5-b278-aa98b44d2e64.zip,12/24/2021,3,"10 PARASITE DETOX (CARDUUS MARIANUS, CHELIDONIUM MAJUS, CINA, SABADILLA, SPIGELIA ANTHELMIA, TEUCRIUM MARUM, TEREBINTHINA, THYROIDINUM (SUIS), SPIGELIA ANTHELMIA, APIS MELLIFICA, BARYTA CARBONICA, CALCAREA CARBONICA, FERRUM MURIATICUM, NATRUM MURIATICUM, SILICEA, SULPHUR) LIQUID [21ST CENTURY HOMEOPATHICS]"
d079194e-93f2-4c9b-98af-bdd10c8ef7b3,20200520_d079194e-93f2-4c9b-98af-bdd10c8ef7b3.zip,05/20/2020,3,"10 PARASITE DETOX (CARDUUS MARIANUS, CHELIDONIUM MAJUS, CINA, SABADILLA, TEUCRIUM MARUM, TEREBINTHINA, THYROIDINUM (SUIS), SPIGELIA ANTHELMIA, APIS MELLIFICA, BARYTA CARBONICA, CALCAREA CARBONICA, FERRUM MURIATICUM, NATRUM MURIATICUM, SILICEA, SULPHUR) LIQUID [BIOTICS RESEARCH CORPORATION]"
7d1950b4-3237-4512-bab3-4c7364bdd618,20100608_7d1950b4-3237-4512-bab3-4c7364bdd618.zip,10/09/2010,10,"10 PERSON ANSI (BENZALKONIUM CHLORIDE, LIDOCAINE, BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, WATER, BENZOCAINE, ALCOHOL, IBUPROFEN, ACETAMINOPHEN, ASPIRIN ) KIT [GENUINE FIRST AID LLC]"
44629933-70f0-42e4-a236-0cf7fd7be0ae,20141210_44629933-70f0-42e4-a236-0cf7fd7be0ae.zip,12/10/2014,1,"10 STOMACH (CONDURANGO, ANTIMONIUM CRUDUM, AURUM METALLICUM, HYOSCYAMUS NIGER, NUX VOMICA, SULPHUR) LIQUID [THE WELLNESS CENTER FOR RESEARCH AND EDUCATION, INC.]"
469e3901-22a2-4894-a2ec-f91639071494,20101109_469e3901-22a2-4894-a2ec-f91639071494.zip,01/13/2011,1,"10 STOMACH (CONDURANGO, ANTIMONIUM CRUDUM, AURUM METALLICUM, HYOSCYAMUS NIGER, NUX VOMICA, SULPHUR,) LIQUID [APOTHECA COMPANY]"
d2bf436c-eaf1-0fa8-e053-2995a90ab59a,20211212_d2bf436c-eaf1-0fa8-e053-2995a90ab59a.zip,12/13/2021,1,"100 % MINERAL SPF MINI SET (ZINC OXIDE, TITANIUM DIOXIDE) KIT [SYSTEM BEAUTY, LLC]"
c77e342a-b60b-5385-e053-2a95a90a4132,20211118_c77e342a-b60b-5385-e053-2a95a90a4132.zip,11/18/2021,2,"100 % MINERAL SPF MINI SET (ZINC OXIDE, TITANIUM DIOXIDE) KIT [TAYLOR JAMES, LTD.]"
affe46cc-3f80-aeae-e053-2a95a90a3404,20200924_affe46cc-3f80-aeae-e053-2a95a90a3404.zip,09/24/2020,1,"100 CANISTER ALCOHOL WIPES - ALOE SCENT CLOTH [HERO BRANDS, INC.]"
affd1b57-5a3c-65e2-e053-2995a90a92f8,20200924_affd1b57-5a3c-65e2-e053-2995a90a92f8.zip,09/24/2020,1,"100 CANISTER ALCOHOL WIPES - ALOE SCENT CLOTH [ZHUJI JIANHE PAPER CO., LTD]"
affe4cec-602b-c298-e053-2a95a90ac37e,20200924_affe4cec-602b-c298-e053-2a95a90ac37e.zip,09/24/2020,1,"100 CANISTER ALCOHOL WIPES - FRESH SCENT CLOTH [HERO BRANDS, INC.]"
affd8d6c-2584-3f2d-e053-2995a90a76dd,20200924_affd8d6c-2584-3f2d-e053-2995a90a76dd.zip,09/24/2020,1,"100 CANISTER ALCOHOL WIPES - FRESH SCENT CLOTH [ZHUJI JIANHE PAPER CO., LTD]"
e1f53868-cdba-49d3-9ab7-1cee33a78268,20201224_e1f53868-cdba-49d3-9ab7-1cee33a78268.zip,12/24/2020,1,"100 TOOTHPAST E AFTERNOON (HYDROGEN PEROXIDE) GEL, DENTIFRICE [MGRU]"
2a1ca442-c785-47ba-9d7b-d5ea9025c3d1,20201224_2a1ca442-c785-47ba-9d7b-d5ea9025c3d1.zip,12/24/2020,1,"100 TOOTHPAST E MORNING (SODIUM MONOFLUOROPHOSPHATE) GEL, DENTIFRICE [MGRU]"
dca4a7ff-645f-4ead-ab42-0041ec4de495,20201224_dca4a7ff-645f-4ead-ab42-0041ec4de495.zip,12/24/2020,1,"100 TOOTHPAST E NIGHT (SODIUM MONOFLUOROPHOSPHATE) GEL, DENTIFRICE [MGRU]"
a607d628-998f-64ca-e053-2a95a90a85d5,20221012_a607d628-998f-64ca-e053-2a95a90a85d5.zip,10/12/2022,4,"100% MINERAL BODY MIST WITH GREEN TEA EXTRACT BROAD SPECTRUM SPF 50 (TITANIUM DIOXIDE, ZINC OXIDE) LIQUID [SUPERGOOP, LLC]"
d7758651-c152-5868-e053-2a95a90ab673,20220209_d7758651-c152-5868-e053-2a95a90ab673.zip,02/09/2022,1,"100% MINERAL BROAD SPECTRUM SUNSCREEN SPF 30 (TITANIUM DIOXIDE, ZINC OXIDE) LOTION [SUPERGOOP LLC]"
d6fcc065-cbcd-0b81-e053-2a95a90ab1f9,20221013_d6fcc065-cbcd-0b81-e053-2a95a90ab1f9.zip,10/13/2022,3,"100% MINERAL BROAD SPECTRUM SUNSCREEN SPF 50 (TITANIUM DIOXIDE, ZINC OXIDE) LOTION [SUPERGOOP LLC]"
c72bb516-ab1d-4c98-b546-418fec606c19,20170501_c72bb516-ab1d-4c98-b546-418fec606c19.zip,05/01/2017,2,"100% PURE EVERYWHERE SUNSCREEN SPF 30 (ZINC OXIDE, TITANIUM DIOXIDE) STICK [PURITY COSMETICS]"
ca4d6dd8-4569-2501-e053-2a95a90aac77,20210831_ca4d6dd8-4569-2501-e053-2a95a90aac77.zip,08/31/2021,1,100% PURE GREEN TEA SPF 30 SUNSCREEN (ZINC OXIDE) LOTION [PURITY COSMETICS]
a14df806-efa1-11a7-e053-2a95a90a8f10,20200327_a14df806-efa1-11a7-e053-2a95a90a8f10.zip,03/27/2020,1,100% PURE HAND SANITIZER (ETHYL ALCOHOL) SPRAY [PURITY COSMETICS]
abbe7ae3-bd3a-2089-e053-2a95a90af707,20200804_abbe7ae3-bd3a-2089-e053-2a95a90af707.zip,08/04/2020,1,100% PURE HAND SANITIZER HYDRATING (ETHYL ALCOHOL) GEL [PURITY COSMETICS]
4e76e036-5a78-5c06-e054-00144ff8d46c,20170501_4e76e036-5a78-5c06-e054-00144ff8d46c.zip,05/01/2017,1,100% PURE SWEET MINT LIP BALM SPF 15 (ZINC OXIDE) STICK [PURITY COSMETICS]
4e7798fb-1b01-62e3-e054-00144ff8d46c,20170501_4e7798fb-1b01-62e3-e054-00144ff8d46c.zip,05/01/2017,1,"100% PURE YERBA MATE MIST SPF 30 (ZINC OXIDE) AEROSOL, SPRAY [PURITY COSMETICS]"
344e0c05-f96d-4c4d-af85-d790f6c29e44,20190713_344e0c05-f96d-4c4d-af85-d790f6c29e44.zip,07/15/2019,2,1000 ROSES CC COLOR PLUS CORRECT SHEER NUDE SPF 30 (ZINC OXIDE) LOTION [ANDALOU NATURALS]
9314e4fc-ba3e-480e-a005-b8928130ed70,20190716_9314e4fc-ba3e-480e-a005-b8928130ed70.zip,07/16/2019,3,1000 ROSES CC COLOR PLUS CORRECT SHEER TAN SPF 30 (ZINC OXIDE) LOTION [ANDALOU NATURALS]
0923e090-6834-4373-80fe-21f00b8c1c17,20190716_0923e090-6834-4373-80fe-21f00b8c1c17.zip,07/16/2019,3,"1000 ROSES DAILY SHADE FACIAL SPF 18 (OCTISALATE, OCTOCRYLENE, AND AVOBENZONE) LOTION [ANDALOU NATURALS]"
ab032b74-4c50-d484-e053-2995a90a877c,20220423_ab032b74-4c50-d484-e053-2995a90a877c.zip,04/25/2022,7,"1000 WET WIPES CLOTH [JIANGSU MEIFAN BIOTECHNOLOGY CO., LTD.]"
b3a36780-2f1f-251d-e053-2995a90a5dc2,20201110_b3a36780-2f1f-251d-e053-2995a90a5dc2.zip,11/10/2020,1,"1000 WET WIPES CLOTH [JIANGSU MEIFAN BIOTECHNOLOGY CO., LTD.]"
e26f9ea0-cb5a-c4fc-e053-2995a90a0419,20220628_e26f9ea0-cb5a-c4fc-e053-2995a90a0419.zip,06/28/2022,1,100ML BERG AND THYME HAND PURIFYING (ALCOHOL) GEL [LABORATOIRES BEA]
e26e64ee-a227-2ac2-e053-2a95a90a1511,20220628_e26e64ee-a227-2ac2-e053-2a95a90a1511.zip,06/28/2022,1,100ML COCONUT HAND PURIFYING (ALCOHOL) GEL [LABORATOIRES BEA]
